username,encodedUsername,link,accountNumber,accountCreated,accountAge,linksRef
janzee,janzee,https://fark.com/users/janzee,553103,2010-04-09,11,1
xaldin,xaldin,https://fark.com/users/xaldin,94400,2003-06-08,18,None
Norfolking Chance,Norfolking%20Chance,https://fark.com/users/Norfolking%20Chance,687807,2011-07-17,10,52
AlgaeRancher,AlgaeRancher,https://fark.com/users/AlgaeRancher,92001,2003-05-23,18,2
Geotpf,Geotpf,https://fark.com/users/Geotpf,85890,2003-04-15,18,140
chawco,chawco,https://fark.com/users/chawco,937168,2015-05-08,6,39
kbronsito,kbronsito,https://fark.com/users/kbronsito,503929,2009-10-08,12,518
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
kbronsito,kbronsito,https://fark.com/users/kbronsito,503929,2009-10-08,12,518
tobcc,tobcc,https://fark.com/users/tobcc,55822,2002-09-26,19,45
groppet,groppet,https://fark.com/users/groppet,697272,2011-08-13,10,196
QFarker,QFarker,https://fark.com/users/QFarker,302391,2006-09-04,15,None
FarkingReading,FarkingReading,https://fark.com/users/FarkingReading,140007,2004-02-17,17,17
Oliver Twisted,Oliver%20Twisted,https://fark.com/users/Oliver%20Twisted,139966,2004-02-17,17,8
zimbomba63,zimbomba63,https://fark.com/users/zimbomba63,875487,2013-09-01,8,1
SirDigbyChickenCaesar,SirDigbyChickenCaesar,https://fark.com/users/SirDigbyChickenCaesar,756951,2012-02-22,9,20
DecemberNitro,DecemberNitro,https://fark.com/users/DecemberNitro,197044,2004-11-24,17,None
Mad-n-FL,Mad-n-FL,https://fark.com/users/Mad-n-FL,290697,2006-06-16,15,3
Mad-n-FL,Mad-n-FL,https://fark.com/users/Mad-n-FL,290697,2006-06-16,15,3
Turbo Cojones,Turbo%20Cojones,https://fark.com/users/Turbo%20Cojones,277640,2006-03-18,15,5
apotheosis27,apotheosis27,https://fark.com/users/apotheosis27,277172,2006-03-15,15,None
Merltech,Merltech,https://fark.com/users/Merltech,1205,2001-01-22,20,95
emersonbiggins,emersonbiggins,https://fark.com/users/emersonbiggins,325096,2007-02-09,14,23
focusthis,focusthis,https://fark.com/users/focusthis,327951,2007-02-27,14,None
studebaker hoch,studebaker%20hoch,https://fark.com/users/studebaker%20hoch,202787,2004-12-25,17,197
Snort,Snort,https://fark.com/users/Snort,7650,2001-08-27,20,130
QFarker,QFarker,https://fark.com/users/QFarker,302391,2006-09-04,15,None
namegoeshere,namegoeshere,https://fark.com/users/namegoeshere,359928,2007-09-11,14,15
DecemberNitro,DecemberNitro,https://fark.com/users/DecemberNitro,197044,2004-11-24,17,None
Lambskincoat,Lambskincoat,https://fark.com/users/Lambskincoat,391548,2008-03-06,13,None
MrHormel,MrHormel,https://fark.com/users/MrHormel,2596,2001-04-17,20,4
mcreadyblue,mcreadyblue,https://fark.com/users/mcreadyblue,127925,2003-12-22,18,24
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
Incog_Neeto,Incog_Neeto,https://fark.com/users/Incog_Neeto,637282,2011-02-14,10,2
Boojum2k,Boojum2k,https://fark.com/users/Boojum2k,199005,2004-12-05,17,16
ColonelCathcart,ColonelCathcart,https://fark.com/users/ColonelCathcart,520417,2009-12-09,12,218
MusicMakeMyHeadPound,MusicMakeMyHeadPound,https://fark.com/users/MusicMakeMyHeadPound,121181,2003-11-18,18,19
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
guestguy,guestguy,https://fark.com/users/guestguy,413430,2008-07-01,13,1
Gunner's Mate First Class Phillip Asshole,Gunner%27s%20Mate%20First%20Class%20Phillip%20Asshole,https://fark.com/users/Gunner%27s%20Mate%20First%20Class%20Phillip%20Asshole,906627,2014-06-05,7,None
Pats_Cloth_Coat,Pats_Cloth_Coat,https://fark.com/users/Pats_Cloth_Coat,831556,2012-12-28,9,401
SpectroBoy,SpectroBoy,https://fark.com/users/SpectroBoy,73694,2003-02-04,18,76
cakeman,cakeman,https://fark.com/users/cakeman,453305,2009-01-20,12,None
SpectroBoy,SpectroBoy,https://fark.com/users/SpectroBoy,73694,2003-02-04,18,76
SpectroBoy,SpectroBoy,https://fark.com/users/SpectroBoy,73694,2003-02-04,18,76
drjekel_mrhyde,drjekel_mrhyde,https://fark.com/users/drjekel_mrhyde,316733,2006-12-15,15,85
chawco,chawco,https://fark.com/users/chawco,937168,2015-05-08,6,39
Sentient,Sentient,https://fark.com/users/Sentient,16589,2001-12-10,20,1
Mad-n-FL,Mad-n-FL,https://fark.com/users/Mad-n-FL,290697,2006-06-16,15,3
Watubi,Watubi,https://fark.com/users/Watubi,830844,2012-12-24,9,6
Mad-n-FL,Mad-n-FL,https://fark.com/users/Mad-n-FL,290697,2006-06-16,15,3
mrmopar5287,mrmopar5287,https://fark.com/users/mrmopar5287,288822,2006-06-04,15,147
mrmopar5287,mrmopar5287,https://fark.com/users/mrmopar5287,288822,2006-06-04,15,147
nitropissering,nitropissering,https://fark.com/users/nitropissering,1000862,2017-04-30,4,None
thedumbone,thedumbone,https://fark.com/users/thedumbone,816671,2012-10-01,9,None
thedumbone,thedumbone,https://fark.com/users/thedumbone,816671,2012-10-01,9,None
big pig peaches,big%20pig%20peaches,https://fark.com/users/big%20pig%20peaches,354317,2007-08-07,14,8
zjoik,zjoik,https://fark.com/users/zjoik,367402,2007-10-24,14,6
Tell Me How My Blog Tastes,Tell%20Me%20How%20My%20Blog%20Tastes,https://fark.com/users/Tell%20Me%20How%20My%20Blog%20Tastes,554077,2010-04-13,11,383
mrmopar5287,mrmopar5287,https://fark.com/users/mrmopar5287,288822,2006-06-04,15,147
vonster,vonster,https://fark.com/users/vonster,285696,2006-05-12,15,None
Arkkuss,Arkkuss,https://fark.com/users/Arkkuss,1208045,2021-07-03,0,1
Smackledorfer,Smackledorfer,https://fark.com/users/Smackledorfer,445602,2008-12-05,13,2
Smackledorfer,Smackledorfer,https://fark.com/users/Smackledorfer,445602,2008-12-05,13,2
Boojum2k,Boojum2k,https://fark.com/users/Boojum2k,199005,2004-12-05,17,16
rewind2846,rewind2846,https://fark.com/users/rewind2846,195547,2004-11-17,17,33
Winston Smith '84,Winston%20Smith%20%2784,https://fark.com/users/Winston%20Smith%20%2784,249900,2005-09-26,16,None
MusicMakeMyHeadPound,MusicMakeMyHeadPound,https://fark.com/users/MusicMakeMyHeadPound,121181,2003-11-18,18,19
ColonelCathcart,ColonelCathcart,https://fark.com/users/ColonelCathcart,520417,2009-12-09,12,218
Lambskincoat,Lambskincoat,https://fark.com/users/Lambskincoat,391548,2008-03-06,13,None
indylaw,indylaw,https://fark.com/users/indylaw,110082,2003-09-17,18,3
ColonelCathcart,ColonelCathcart,https://fark.com/users/ColonelCathcart,520417,2009-12-09,12,218
Smackledorfer,Smackledorfer,https://fark.com/users/Smackledorfer,445602,2008-12-05,13,2
Do you know the way to Mordor,Do%20you%20know%20the%20way%20to%20Mordor,https://fark.com/users/Do%20you%20know%20the%20way%20to%20Mordor,272582,2006-02-16,15,8
I Browse,I%20Browse,https://fark.com/users/I%20Browse,704353,2011-09-05,10,27
Winston Smith '84,Winston%20Smith%20%2784,https://fark.com/users/Winston%20Smith%20%2784,249900,2005-09-26,16,None
Loreweaver,Loreweaver,https://fark.com/users/Loreweaver,190925,2004-10-24,17,1
Lambskincoat,Lambskincoat,https://fark.com/users/Lambskincoat,391548,2008-03-06,13,None
SpectroBoy,SpectroBoy,https://fark.com/users/SpectroBoy,73694,2003-02-04,18,76
Somacandra,Somacandra,https://fark.com/users/Somacandra,283421,2006-04-27,15,226
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
Cormee,Cormee,https://fark.com/users/Cormee,1829,2001-03-09,20,194
jaivirtualcard,jaivirtualcard,https://fark.com/users/jaivirtualcard,1230300,2021-08-26,0,None
WTP 2,WTP%202,https://fark.com/users/WTP%202,658884,2011-04-18,10,None
beyondmycontrol,beyondmycontrol,https://fark.com/users/beyondmycontrol,416496,2008-07-16,13,None
macadamnut,macadamnut,https://fark.com/users/macadamnut,405451,2008-05-20,13,None
SirEattonHogg,SirEattonHogg,https://fark.com/users/SirEattonHogg,462237,2009-03-10,12,None
Grungehamster,Grungehamster,https://fark.com/users/Grungehamster,450134,2009-01-02,12,33
BitwiseShift,BitwiseShift,https://fark.com/users/BitwiseShift,156550,2004-05-07,17,37
Loris,Loris,https://fark.com/users/Loris,508507,2009-10-22,12,None
Madman drummers bummers,Madman%20drummers%20bummers,https://fark.com/users/Madman%20drummers%20bummers,347116,2007-06-26,14,22
Electrify,Electrify,https://fark.com/users/Electrify,211068,2005-02-05,16,111
Incog_Neeto,Incog_Neeto,https://fark.com/users/Incog_Neeto,637282,2011-02-14,10,2
Boo_Guy,Boo_Guy,https://fark.com/users/Boo_Guy,355513,2007-08-14,14,111
LOLITROLU,LOLITROLU,https://fark.com/users/LOLITROLU,984414,2016-10-31,5,1
Boojum2k,Boojum2k,https://fark.com/users/Boojum2k,199005,2004-12-05,17,16
Enigmamf,Enigmamf,https://fark.com/users/Enigmamf,363,2000-08-26,21,44
Lab Monkey,Lab%20Monkey,https://fark.com/users/Lab%20Monkey,140194,2004-02-18,17,None
ArcadianRefugee,ArcadianRefugee,https://fark.com/users/ArcadianRefugee,151269,2004-04-10,17,5
BorgiaGinz,BorgiaGinz,https://fark.com/users/BorgiaGinz,268596,2006-01-23,15,None
macadamnut,macadamnut,https://fark.com/users/macadamnut,405451,2008-05-20,13,None
Norfolking Chance,Norfolking%20Chance,https://fark.com/users/Norfolking%20Chance,687807,2011-07-17,10,52
genner,genner,https://fark.com/users/genner,446767,2008-12-11,13,None
phalamir,phalamir,https://fark.com/users/phalamir,309095,2006-10-22,15,178
Pert,Pert,https://fark.com/users/Pert,187157,2004-10-06,17,333
anuran,anuran,https://fark.com/users/anuran,536770,2010-02-07,11,99
Latinwolf,Latinwolf,https://fark.com/users/Latinwolf,462985,2009-03-13,12,8
Latinwolf,Latinwolf,https://fark.com/users/Latinwolf,462985,2009-03-13,12,8
Gordon Bennett,Gordon%20Bennett,https://fark.com/users/Gordon%20Bennett,245500,2005-08-31,16,20
cravak,cravak,https://fark.com/users/cravak,222156,2005-04-09,16,1
Mississippi Mud,Mississippi%20Mud,https://fark.com/users/Mississippi%20Mud,894814,2014-02-21,7,None
TheReject,TheReject,https://fark.com/users/TheReject,64545,2002-12-06,19,None
TommyDeuce,TommyDeuce,https://fark.com/users/TommyDeuce,297552,2006-08-03,15,166
Abe Vigoda's Ghost,Abe%20Vigoda%27s%20Ghost,https://fark.com/users/Abe%20Vigoda%27s%20Ghost,235201,2005-06-29,16,24
tom baker's scarf,tom%20baker%27s%20scarf,https://fark.com/users/tom%20baker%27s%20scarf,670170,2011-05-24,10,1
d.giro,d.giro,https://fark.com/users/d.giro,788617,2012-05-29,9,None
ltdanman44,ltdanman44,https://fark.com/users/ltdanman44,218682,2005-03-15,16,15
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
wee,wee,https://fark.com/users/wee,37614,2002-05-22,19,6
debug,debug,https://fark.com/users/debug,237099,2005-07-11,16,1
HotWingConspiracy,HotWingConspiracy,https://fark.com/users/HotWingConspiracy,112440,2003-10-02,18,67
Nana's Vibrator,Nana%27s%20Vibrator,https://fark.com/users/Nana%27s%20Vibrator,487777,2009-07-20,12,1
tom baker's scarf,tom%20baker%27s%20scarf,https://fark.com/users/tom%20baker%27s%20scarf,670170,2011-05-24,10,1
hissatsu,hissatsu,https://fark.com/users/hissatsu,474954,2009-05-20,12,48
tom baker's scarf,tom%20baker%27s%20scarf,https://fark.com/users/tom%20baker%27s%20scarf,670170,2011-05-24,10,1
Uzzah,Uzzah,https://fark.com/users/Uzzah,92500,2003-05-27,18,61
thealgorerhythm,thealgorerhythm,https://fark.com/users/thealgorerhythm,1050468,2018-11-06,3,254
talkertopc,talkertopc,https://fark.com/users/talkertopc,311907,2006-11-11,15,None
RepoManTSM,RepoManTSM,https://fark.com/users/RepoManTSM,460611,2009-02-28,12,None
LOLITROLU,LOLITROLU,https://fark.com/users/LOLITROLU,984414,2016-10-31,5,1
LOLITROLU,LOLITROLU,https://fark.com/users/LOLITROLU,984414,2016-10-31,5,1
akya,akya,https://fark.com/users/akya,77541,2003-02-25,18,11
Incog_Neeto,Incog_Neeto,https://fark.com/users/Incog_Neeto,637282,2011-02-14,10,2
Cheesehead_Dave,Cheesehead_Dave,https://fark.com/users/Cheesehead_Dave,259252,2005-11-26,16,313
MrHormel,MrHormel,https://fark.com/users/MrHormel,2596,2001-04-17,20,4
shut_it_down,shut_it_down,https://fark.com/users/shut_it_down,453552,2009-01-21,12,None
Jairzinho,Jairzinho,https://fark.com/users/Jairzinho,254894,2005-10-29,16,10
Nana's Vibrator,Nana%27s%20Vibrator,https://fark.com/users/Nana%27s%20Vibrator,487777,2009-07-20,12,1
kbronsito,kbronsito,https://fark.com/users/kbronsito,503929,2009-10-08,12,518
Bowen,Bowen,https://fark.com/users/Bowen,48925,2002-08-07,19,48
kabloink,kabloink,https://fark.com/users/kabloink,155831,2004-05-03,17,41
common sense is an oxymoron,common%20sense%20is%20an%20oxymoron,https://fark.com/users/common%20sense%20is%20an%20oxymoron,641845,2011-02-26,10,140
Erma Gerdd,Erma%20Gerdd,https://fark.com/users/Erma%20Gerdd,919112,2014-10-22,7,8
Dinjiin,Dinjiin,https://fark.com/users/Dinjiin,113544,2003-10-09,18,157
Tonto's Expanding Headband,Tonto%27s%20Expanding%20Headband,https://fark.com/users/Tonto%27s%20Expanding%20Headband,335296,2007-04-20,14,31
groppet,groppet,https://fark.com/users/groppet,697272,2011-08-13,10,196
Tyrone Slothrop,Tyrone%20Slothrop,https://fark.com/users/Tyrone%20Slothrop,233312,2005-06-17,16,51
Bowen,Bowen,https://fark.com/users/Bowen,48925,2002-08-07,19,48
indylaw,indylaw,https://fark.com/users/indylaw,110082,2003-09-17,18,3
romulusnr,romulusnr,https://fark.com/users/romulusnr,11970,2001-10-19,20,None
I Have A Bo Burnham GIF For That,I%20Have%20A%20Bo%20Burnham%20GIF%20For%20That,https://fark.com/users/I%20Have%20A%20Bo%20Burnham%20GIF%20For%20That,994795,2017-02-20,4,4
khitsicker,khitsicker,https://fark.com/users/khitsicker,307845,2006-10-13,15,29
Straight Outta Wells Branch,Straight%20Outta%20Wells%20Branch,https://fark.com/users/Straight%20Outta%20Wells%20Branch,860628,2013-05-29,8,878
IgG4,IgG4,https://fark.com/users/IgG4,291761,2006-06-24,15,423
Lumber Jack Off,Lumber%20Jack%20Off,https://fark.com/users/Lumber%20Jack%20Off,289136,2006-06-06,15,33
tom baker's scarf,tom%20baker%27s%20scarf,https://fark.com/users/tom%20baker%27s%20scarf,670170,2011-05-24,10,1
The Devil's Bartender,The%20Devil%27s%20Bartender,https://fark.com/users/The%20Devil%27s%20Bartender,1140037,2020-11-13,1,None
Marcos P,Marcos%20P,https://fark.com/users/Marcos%20P,213552,2005-02-17,16,26
kdawg7736,kdawg7736,https://fark.com/users/kdawg7736,412992,2008-06-29,13,10047
xalres,xalres,https://fark.com/users/xalres,120484,2003-11-14,18,1
Madman drummers bummers,Madman%20drummers%20bummers,https://fark.com/users/Madman%20drummers%20bummers,347116,2007-06-26,14,22
kdawg7736,kdawg7736,https://fark.com/users/kdawg7736,412992,2008-06-29,13,10047
Cubs300,Cubs300,https://fark.com/users/Cubs300,125488,2003-12-10,18,7
WhippingBoi,WhippingBoi,https://fark.com/users/WhippingBoi,1141964,2020-11-28,1,2
Prank Call of Cthulhu,Prank%20Call%20of%20Cthulhu,https://fark.com/users/Prank%20Call%20of%20Cthulhu,302256,2006-09-03,15,53
skipping non-voting comment in contest thread,skipping%20non-voting%20comment%20in%20contest%20thread,https://fark.com/users/skipping%20non-voting%20comment%20in%20contest%20thread,920175,2014-11-03,7,15
dereksmalls,dereksmalls,https://fark.com/users/dereksmalls,115054,2003-10-17,18,None
Warthog,Warthog,https://fark.com/users/Warthog,35998,2002-05-08,19,514
Prank Call of Cthulhu,Prank%20Call%20of%20Cthulhu,https://fark.com/users/Prank%20Call%20of%20Cthulhu,302256,2006-09-03,15,53
kab,kab,https://fark.com/users/kab,44720,2002-07-11,19,None
Cubs300,Cubs300,https://fark.com/users/Cubs300,125488,2003-12-10,18,7
I Ate Shergar,I%20Ate%20Shergar,https://fark.com/users/I%20Ate%20Shergar,842811,2013-02-21,8,96
Warthog,Warthog,https://fark.com/users/Warthog,35998,2002-05-08,19,514
carnifex2005,carnifex2005,https://fark.com/users/carnifex2005,319990,2007-01-07,14,2
dennysgod,dennysgod,https://fark.com/users/dennysgod,281312,2006-04-13,15,369
I Ate Shergar,I%20Ate%20Shergar,https://fark.com/users/I%20Ate%20Shergar,842811,2013-02-21,8,96
phimuskapsi,phimuskapsi,https://fark.com/users/phimuskapsi,337279,2007-05-01,14,73
mrmopar5287,mrmopar5287,https://fark.com/users/mrmopar5287,288822,2006-06-04,15,147
misanthropicsob,misanthropicsob,https://fark.com/users/misanthropicsob,467149,2009-04-06,12,102
xalres,xalres,https://fark.com/users/xalres,120484,2003-11-14,18,1
God--,God--,https://fark.com/users/God--,61454,2002-11-10,19,29
omg bbq,omg%20bbq,https://fark.com/users/omg%20bbq,621677,2010-12-17,11,2
Obryn,Obryn,https://fark.com/users/Obryn,373997,2007-12-01,14,None
Sexy Jesus,Sexy%20Jesus,https://fark.com/users/Sexy%20Jesus,1110283,2020-04-11,1,None
Marcos P,Marcos%20P,https://fark.com/users/Marcos%20P,213552,2005-02-17,16,26
handsome boy model,handsome%20boy%20model,https://fark.com/users/handsome%20boy%20model,982285,2016-10-05,5,None
cookiedough,cookiedough,https://fark.com/users/cookiedough,996576,2017-03-12,4,None
Explodo,Explodo,https://fark.com/users/Explodo,357405,2007-08-25,14,None
Herbert's Hippopotamus,Herbert%27s%20Hippopotamus,https://fark.com/users/Herbert%27s%20Hippopotamus,914980,2014-09-06,7,2
RepoManTSM,RepoManTSM,https://fark.com/users/RepoManTSM,460611,2009-02-28,12,None
Mock26,Mock26,https://fark.com/users/Mock26,451880,2009-01-12,12,41
Martian_Astronomer,Martian_Astronomer,https://fark.com/users/Martian_Astronomer,490665,2009-08-02,12,7
kozlo,kozlo,https://fark.com/users/kozlo,1014743,2017-10-10,4,None
BitwiseShift,BitwiseShift,https://fark.com/users/BitwiseShift,156550,2004-05-07,17,37
docilej,docilej,https://fark.com/users/docilej,67127,2002-12-23,19,None
RepoManTSM,RepoManTSM,https://fark.com/users/RepoManTSM,460611,2009-02-28,12,None
Palined Parenthood,Palined%20Parenthood,https://fark.com/users/Palined%20Parenthood,961455,2016-01-29,5,7
Mock26,Mock26,https://fark.com/users/Mock26,451880,2009-01-12,12,41
munko,munko,https://fark.com/users/munko,360065,2007-09-12,14,None
Spikescape,Spikescape,https://fark.com/users/Spikescape,2418,2001-04-10,20,1
Destructor,Destructor,https://fark.com/users/Destructor,330627,2007-03-17,14,398
HailRobonia,HailRobonia,https://fark.com/users/HailRobonia,573951,2010-07-02,11,None
xanadian,xanadian,https://fark.com/users/xanadian,287644,2006-05-26,15,96
The Fireman,The%20Fireman,https://fark.com/users/The%20Fireman,1127753,2020-08-18,1,None
elvisaintdead,elvisaintdead,https://fark.com/users/elvisaintdead,213771,2005-02-18,16,15350
Boojum2k,Boojum2k,https://fark.com/users/Boojum2k,199005,2004-12-05,17,16
austerity101,austerity101,https://fark.com/users/austerity101,344857,2007-06-14,14,13
Meat's dream,Meat%27s%20dream,https://fark.com/users/Meat%27s%20dream,282414,2006-04-20,15,21
Boojum2k,Boojum2k,https://fark.com/users/Boojum2k,199005,2004-12-05,17,16
4seasons85!,4seasons85%21,https://fark.com/users/4seasons85%21,621341,2010-12-16,11,5
The Irresponsible Captain,The%20Irresponsible%20Captain,https://fark.com/users/The%20Irresponsible%20Captain,561405,2010-05-13,11,13
KidKorporate,KidKorporate,https://fark.com/users/KidKorporate,386294,2008-02-09,13,None
petec,petec,https://fark.com/users/petec,369044,2007-11-02,14,15
I am Tom Joad's Complete Lack of Surprise,I%20am%20Tom%20Joad%27s%20Complete%20Lack%20of%20Surprise,https://fark.com/users/I%20am%20Tom%20Joad%27s%20Complete%20Lack%20of%20Surprise,1008695,2017-07-30,4,2
thehobbes,thehobbes,https://fark.com/users/thehobbes,842386,2013-02-19,8,330
Man On A Mission,Man%20On%20A%20Mission,https://fark.com/users/Man%20On%20A%20Mission,344960,2007-06-14,14,49
cryinoutloud,cryinoutloud,https://fark.com/users/cryinoutloud,46773,2002-07-23,19,11
Rapmaster2000,Rapmaster2000,https://fark.com/users/Rapmaster2000,140417,2004-02-19,17,139
Pedal Pedal,Pedal%20Pedal,https://fark.com/users/Pedal%20Pedal,957998,2015-12-20,6,1
Madman drummers bummers,Madman%20drummers%20bummers,https://fark.com/users/Madman%20drummers%20bummers,347116,2007-06-26,14,22
Klivian,Klivian,https://fark.com/users/Klivian,264743,2005-12-31,16,17
Rapmaster2000,Rapmaster2000,https://fark.com/users/Rapmaster2000,140417,2004-02-19,17,139
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
meat0918,meat0918,https://fark.com/users/meat0918,146370,2004-03-18,17,152
whidbey,whidbey,https://fark.com/users/whidbey,62272,2002-11-16,19,9
Rapmaster2000,Rapmaster2000,https://fark.com/users/Rapmaster2000,140417,2004-02-19,17,139
The Cat Who Walks By Herself,The%20Cat%20Who%20Walks%20By%20Herself,https://fark.com/users/The%20Cat%20Who%20Walks%20By%20Herself,242523,2005-08-12,16,1
asciibaron,asciibaron,https://fark.com/users/asciibaron,202242,2004-12-22,17,3
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
xanadian,xanadian,https://fark.com/users/xanadian,287644,2006-05-26,15,96
BitwiseShift,BitwiseShift,https://fark.com/users/BitwiseShift,156550,2004-05-07,17,37
Milk D,Milk%20D,https://fark.com/users/Milk%20D,361611,2007-09-21,14,62
BretMavrik,BretMavrik,https://fark.com/users/BretMavrik,321068,2007-01-14,14,5
berylman,berylman,https://fark.com/users/berylman,119065,2003-11-07,18,19
skipping non-voting comment in contest thread,skipping%20non-voting%20comment%20in%20contest%20thread,https://fark.com/users/skipping%20non-voting%20comment%20in%20contest%20thread,920175,2014-11-03,7,15
Sin'sHero,Sin%27sHero,https://fark.com/users/Sin%27sHero,935262,2015-04-15,6,None
tom baker's scarf,tom%20baker%27s%20scarf,https://fark.com/users/tom%20baker%27s%20scarf,670170,2011-05-24,10,1
SMB2811,SMB2811,https://fark.com/users/SMB2811,566017,2010-06-02,11,1
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
mchaboud,mchaboud,https://fark.com/users/mchaboud,138895,2004-02-12,17,None
goodncold,goodncold,https://fark.com/users/goodncold,1040281,2018-07-26,3,6
The_Sponge,The_Sponge,https://fark.com/users/The_Sponge,193289,2004-11-05,17,46
NM Volunteer,NM%20Volunteer,https://fark.com/users/NM%20Volunteer,1118916,2020-06-17,1,43
Madman drummers bummers,Madman%20drummers%20bummers,https://fark.com/users/Madman%20drummers%20bummers,347116,2007-06-26,14,22
jack_o_the_hills,jack_o_the_hills,https://fark.com/users/jack_o_the_hills,329139,2007-03-07,14,None
asciibaron,asciibaron,https://fark.com/users/asciibaron,202242,2004-12-22,17,3
Solty Dog,Solty%20Dog,https://fark.com/users/Solty%20Dog,234398,2005-06-24,16,8
handsome boy model,handsome%20boy%20model,https://fark.com/users/handsome%20boy%20model,982285,2016-10-05,5,None
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
Pedal Pedal,Pedal%20Pedal,https://fark.com/users/Pedal%20Pedal,957998,2015-12-20,6,1
asciibaron,asciibaron,https://fark.com/users/asciibaron,202242,2004-12-22,17,3
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
asciibaron,asciibaron,https://fark.com/users/asciibaron,202242,2004-12-22,17,3
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
deathdidpartme,deathdidpartme,https://fark.com/users/deathdidpartme,939200,2015-05-31,6,None
deathdidpartme,deathdidpartme,https://fark.com/users/deathdidpartme,939200,2015-05-31,6,None
SurelyShirley,SurelyShirley,https://fark.com/users/SurelyShirley,532540,2010-01-23,11,65
asciibaron,asciibaron,https://fark.com/users/asciibaron,202242,2004-12-22,17,3
Harlee,Harlee,https://fark.com/users/Harlee,1004054,2017-06-06,4,406
asciibaron,asciibaron,https://fark.com/users/asciibaron,202242,2004-12-22,17,3
TrashcanMan,TrashcanMan,https://fark.com/users/TrashcanMan,233043,2005-06-16,16,None
geekbikerskum,geekbikerskum,https://fark.com/users/geekbikerskum,175377,2004-08-06,17,1
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
zimbomba63,zimbomba63,https://fark.com/users/zimbomba63,875487,2013-09-01,8,1
rockymountainrider,rockymountainrider,https://fark.com/users/rockymountainrider,259045,2005-11-24,16,None
kdawg7736,kdawg7736,https://fark.com/users/kdawg7736,412992,2008-06-29,13,10047
johnny_vegas,johnny_vegas,https://fark.com/users/johnny_vegas,106733,2003-08-26,18,226
mr-b,mr-b,https://fark.com/users/mr-b,263426,2005-12-21,16,2
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
USCLaw2010,USCLaw2010,https://fark.com/users/USCLaw2010,392164,2008-03-10,13,9
Abe Vigoda's Ghost,Abe%20Vigoda%27s%20Ghost,https://fark.com/users/Abe%20Vigoda%27s%20Ghost,235201,2005-06-29,16,24
batlock666,batlock666,https://fark.com/users/batlock666,200386,2004-12-13,17,16
OldRod,OldRod,https://fark.com/users/OldRod,282137,2006-04-18,15,459
OldRod,OldRod,https://fark.com/users/OldRod,282137,2006-04-18,15,459
CFitzsimmons,CFitzsimmons,https://fark.com/users/CFitzsimmons,308772,2006-10-19,15,None
Evil Mackerel,Evil%20Mackerel,https://fark.com/users/Evil%20Mackerel,563703,2010-05-22,11,None
mr-b,mr-b,https://fark.com/users/mr-b,263426,2005-12-21,16,2
raerae1980,raerae1980,https://fark.com/users/raerae1980,266786,2006-01-12,15,13
Crocoduck,Crocoduck,https://fark.com/users/Crocoduck,425133,2008-08-28,13,None
Marcos P,Marcos%20P,https://fark.com/users/Marcos%20P,213552,2005-02-17,16,26
tom baker's scarf,tom%20baker%27s%20scarf,https://fark.com/users/tom%20baker%27s%20scarf,670170,2011-05-24,10,1
pastramithemosterotic,pastramithemosterotic,https://fark.com/users/pastramithemosterotic,914244,2014-08-29,7,92
HotWingConspiracy,HotWingConspiracy,https://fark.com/users/HotWingConspiracy,112440,2003-10-02,18,67
dothemath,dothemath,https://fark.com/users/dothemath,376558,2007-12-17,14,None
invictus2,invictus2,https://fark.com/users/invictus2,500750,2009-09-24,12,12
Mega Steve,Mega%20Steve,https://fark.com/users/Mega%20Steve,244580,2005-08-25,16,8
austerity101,austerity101,https://fark.com/users/austerity101,344857,2007-06-14,14,13
BitwiseShift,BitwiseShift,https://fark.com/users/BitwiseShift,156550,2004-05-07,17,37
grokca,grokca,https://fark.com/users/grokca,718654,2011-10-19,10,None
indy_kid,indy_kid,https://fark.com/users/indy_kid,425502,2008-08-29,13,1
DecemberNitro,DecemberNitro,https://fark.com/users/DecemberNitro,197044,2004-11-24,17,None
TommyDeuce,TommyDeuce,https://fark.com/users/TommyDeuce,297552,2006-08-03,15,166
rnatalie,rnatalie,https://fark.com/users/rnatalie,122511,2003-11-24,18,2033
DonkeyDixon,DonkeyDixon,https://fark.com/users/DonkeyDixon,349472,2007-07-09,14,8
kabloink,kabloink,https://fark.com/users/kabloink,155831,2004-05-03,17,41
winedrinkingman,winedrinkingman,https://fark.com/users/winedrinkingman,958280,2015-12-23,6,50
